806
10
13273
13273
 0 1 1 75 63  14 (D 0,1,1) (S 23,1,6) (S 21,1,2) (S 22,1,5) (S 33,12,6) (S 29,6,5) (S 32,7,6) (S 34,13,6) (S 46,20,12) (S 5,12,12) (S 43,12,11) (S 6,14,14) (S 7,16,16) (D 0,1,1)
 0 1 2 75 74  18 (D 0,1,1) (S 45,13,12) (S 47,14,13) (S 48,21,13) (S 36,13,7) (S 50,22,14) (S 49,15,14) (S 38,14,8) (S 52,23,15) (S 40,15,9) (S 51,16,15) (S 65,23,22) (S 8,22,22) (S 13,31,31) (S 14,32,32) (S 9,25,25) (S 19,43,43) (D 0,1,1)
 0 1 3 75 57  12 (D 0,1,1) (S 61,21,20) (S 59,20,19) (S 62,30,20) (S 56,19,18) (S 60,26,19) (S 44,19,11) (S 58,29,18) (S 31,18,5) (S 72,29,26) (S 73,30,26) (D 0,1,1)
 0 1 4 75 73  19 (D 0,1,1) (S 1,5,5) (S 30,11,5) (S 4,11,11) (S 57,26,18) (S 10,26,26) (S 74,34,26) (S 12,30,30) (S 83,34,30) (S 75,30,27) (S 92,35,34) (S 88,34,33) (S 93,40,34) (S 102,41,40) (S 103,47,40) (S 90,40,33) (S 18,41,41) (S 20,44,44) (D 0,1,1)
 0 1 5 75 77  13 (D 0,1,1) (S 35,8,7) (S 25,7,2) (S 24,3,2) (S 2,8,8) (S 37,9,8) (S 39,10,9) (S 41,16,9) (S 27,9,3) (S 68,31,23) (S 67,24,23) (S 96,37,36) (D 0,1,1)
 0 1 6 75 83  12 (D 0,1,1) (S 63,22,21) (S 64,27,21) (S 76,31,27) (S 77,35,27) (S 78,36,27) (S 82,39,29) (S 81,33,29) (S 11,29,29) (S 17,39,39) (S 89,39,33) (D 0,1,1)
 0 1 7 75 76  12 (D 0,1,1) (S 54,24,16) (S 53,17,16) (S 69,25,24) (S 70,32,24) (S 55,25,17) (S 71,28,25) (S 79,32,28) (S 80,38,28) (S 87,38,32) (S 84,32,31) (D 0,1,1)
 0 1 8 75 105  15 (D 0,1,1) (S 66,31,22) (S 85,37,31) (S 98,38,37) (S 86,37,32) (S 99,43,37) (S 107,43,42) (S 110,50,43) (S 109,45,43) (S 100,43,38) (S 113,50,45) (S 16,38,38) (S 15,36,36) (S 3,10,10) (D 0,1,1)
 0 1 9 72 88  14 (D 0,1,1) (S 94,36,35) (S 95,41,35) (S 105,48,41) (S 104,42,41) (S 106,49,41) (S 116,49,48) (S 115,48,47) (S 117,50,49) (S 111,49,44) (S 108,44,42) (S 112,50,44) (S 97,42,36) (D 0,1,1)
 0 1 10 52 110  8 (D 0,1,1) (S 26,4,3) (S 28,10,4) (S 42,17,10) (S 101,45,38) (S 114,47,46) (S 91,46,33) (D 0,1,1)
