54027
77
192560375
4510708
 0 1 1 118 172  10 (D 0,1,1) (S 31,1,116) (S 339,116,1) (S 337,115,116) (S 340,116,115) (S 341,116,117) (S 344,117,116) (S 343,117,115) (S 331,113,112) (D 0,1,1)
 0 1 2 120 359  8 (D 0,1,1) (S 336,115,114) (S 334,114,115) (S 338,115,117) (S 342,117,2) (S 360,122,121) (S 261,87,86) (D 0,1,1)
 0 1 3 118 299  6 (D 0,1,1) (S 345,117,118) (S 32,2,117) (S 349,118,117) (S 329,112,113) (D 0,1,1)
 0 1 4 120 348  10 (D 0,1,1) (S 351,119,117) (S 346,117,119) (S 353,120,119) (S 352,119,120) (S 354,120,121) (S 357,121,120) (S 358,121,122) (S 259,86,87) (D 0,1,1)
 0 1 5 118 288  8 (D 0,1,1) (S 348,118,114) (S 333,114,113) (S 332,113,114) (S 26,112,112) (S 327,112,107) (S 324,110,111) (D 0,1,1)
 0 1 6 120 636  6 (D 0,1,1) (S 335,114,118) (S 307,103,113) (S 325,110,112) (S 293,98,97) (D 0,1,1)
 0 1 7 120 400  8 (D 0,1,1) (S 355,120,123) (S 362,123,120) (S 356,121,118) (S 350,118,121) (S 359,122,87) (S 270,90,91) (D 0,1,1)
 0 1 8 120 480  9 (D 0,1,1) (S 330,113,103) (S 328,112,110) (S 318,107,112) (S 313,106,107) (S 317,107,110) (S 323,110,107) (S 300,101,94) (D 0,1,1)
 0 1 9 119 442  8 (D 0,1,1) (S 274,91,118) (S 347,118,91) (S 361,122,123) (S 363,123,122) (S 27,122,122) (S 403,138,136) (D 0,1,1)
 0 1 10 119 495  9 (D 0,1,1) (S 320,108,107) (S 315,107,106) (S 316,107,108) (S 326,111,110) (S 311,105,106) (S 312,106,105) (S 284,94,101) (D 0,1,1)
 0 1 11 120 686  8 (D 0,1,1) (S 262,87,122) (S 364,123,124) (S 369,125,123) (S 367,124,123) (S 371,126,124) (S 148,47,42) (D 0,1,1)
 0 1 12 120 466  7 (D 0,1,1) (S 365,123,125) (S 34,4,124) (S 368,124,126) (S 387,132,131) (S 385,131,132) (D 0,1,1)
 0 1 13 120 533  7 (D 0,1,1) (S 21,87,87) (S 257,85,86) (S 260,86,88) (S 263,88,86) (S 207,69,67) (D 0,1,1)
 0 1 14 119 599  6 (D 0,1,1) (S 321,108,109) (S 310,105,104) (S 309,104,105) (S 204,67,69) (D 0,1,1)
 0 1 15 119 651  7 (D 0,1,1) (S 314,106,108) (S 319,108,106) (S 24,105,105) (S 304,102,104) (S 291,97,98) (D 0,1,1)
 0 1 16 120 527  9 (D 0,1,1) (S 20,86,86) (S 258,86,85) (S 256,85,84) (S 254,84,85) (S 19,85,85) (S 251,83,84) (S 144,46,43) (D 0,1,1)
 0 1 17 120 690  5 (D 0,1,1) (S 322,109,108) (S 23,104,104) (S 169,56,55) (D 0,1,1)
 0 1 18 117 403  9 (D 0,1,1) (S 305,103,91) (S 272,91,90) (S 273,91,103) (S 269,90,88) (S 265,88,90) (S 22,90,90) (S 277,92,89) (D 0,1,1)
 0 1 19 117 468  7 (D 0,1,1) (S 271,91,66) (S 264,88,89) (S 266,89,88) (S 267,89,92) (S 250,83,82) (D 0,1,1)
